gid,cat,Hetereogen,Uncertain,label,dakar_dominance,dakar_pielou,dakar_renyi,dakar_richness,dakar_shannon,dakar_simpson,dakar_cl_10_patchnum,dakar_cl_10_patchdensity,dakar_cl_10_mps,dakar_cl_10_padcv,dakar_cl_10_padrange,dakar_cl_10_padsd,dakar_cl_10_shape,dakar_cl_22_patchnum,dakar_cl_22_patchdensity,dakar_cl_22_mps,dakar_cl_22_padcv,dakar_cl_22_padrange,dakar_cl_22_padsd,dakar_cl_22_shape,dakar_cl_23_patchnum,dakar_cl_23_patchdensity,dakar_cl_23_mps,dakar_cl_23_padcv,dakar_cl_23_padrange,dakar_cl_23_padsd,dakar_cl_23_shape,dakar_cl_33_patchnum,dakar_cl_33_patchdensity,dakar_cl_33_mps,dakar_cl_33_padcv,dakar_cl_33_padrange,dakar_cl_33_padsd,dakar_cl_33_shape,dakar_cl_34_patchnum,dakar_cl_34_patchdensity,dakar_cl_34_mps,dakar_cl_34_padcv,dakar_cl_34_padrange,dakar_cl_34_padsd,dakar_cl_34_shape,dakar_cl_45_patchnum,dakar_cl_45_patchdensity,dakar_cl_45_mps,dakar_cl_45_padcv,dakar_cl_45_padrange,dakar_cl_45_padsd,dakar_cl_45_shape,dakar_cl_99_patchnum,dakar_cl_99_patchdensity,dakar_cl_99_mps,dakar_cl_99_padcv,dakar_cl_99_padrange,dakar_cl_99_padsd,dakar_cl_99_shape,dakar_cl_111_patchnum,dakar_cl_111_patchdensity,dakar_cl_111_mps,dakar_cl_111_padcv,dakar_cl_111_padrange,dakar_cl_111_padsd,dakar_cl_111_shape,dakar_cl_112_patchnum,dakar_cl_112_patchdensity,dakar_cl_112_mps,dakar_cl_112_padcv,dakar_cl_112_padrange,dakar_cl_112_padsd,dakar_cl_112_shape,dakar_cl_113_patchnum,dakar_cl_113_patchdensity,dakar_cl_113_mps,dakar_cl_113_padcv,dakar_cl_113_padrange,dakar_cl_113_padsd,dakar_cl_113_shape,area,perimeter,compact_circle,compact_square,fd,NDVI_stddev,NDVI_median,NDWI_stddev,NDWI_median,mean_build_height,count_buildpixels,prop_10,prop_22,prop_23,prop_33,prop_34,prop_45,prop_99,prop_111,prop_112,prop_113
270,20435,0,0,PLAN,0.300377469,0.845636517,1.470596781,7,1.64553268,0.770211689,15,5.954034851,0.001071667,72.57450194,0.002,0.000777757,6.211193678,4,1.587742627,0.00589375,146.138878,0.020725,0.00861306,3.093625643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7.144841821,0.012227778,249.7740475,0.13085,0.030541815,7.652166786,36,14.28968364,0.002890278,207.575812,0.026775,0.005999518,9.982396808,19,7.541777478,0.003478947,124.3980588,0.01675,0.004327743,9.120992893,7,2.778549597,0.022557143,112.4300801,0.065925,0.025361014,5.303670297,2,0.793871313,0.0210125,89.76799524,0.037725,0.0188625,2.804878049,25193,772,1.372058,0.822399,1.312172,0.102848691,0.14005,0.151086236,-0.259529,6.55,10641,2.5523,3.7431,0,0,0,34.94622,16.52046,10.49498,25.07046,6.67249
278,20440,0,0,PLAN,0.440305228,0.788257944,1.432101972,8,1.639136313,0.76119357,7,3.496852832,0.000425,62.09396034,0.000925,0.000263899,4.125143237,5,2.497752023,0.00342,145.648379,0.01315,0.004981175,4.072129276,3,1.498651214,0.001808333,71.71490106,0.003175,0.001296844,2.783261357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.997302428,0.032870833,219.190907,0.19385,0.072049878,5.03827724,19,9.491457688,0.004385526,172.1222732,0.024925,0.007548468,7.759975626,6,2.997302428,0.008966667,174.5813082,0.042925,0.015654124,3.934066849,12,5.994604856,0.00413125,214.3039297,0.03225,0.008853431,5.760046804,3,1.498651214,0.030341667,78.01092534,0.057975,0.023669815,3.87797958,20018,826,1.646891,0.685157,1.356287,0.10258656,0.133969,0.14551889,-0.283216,9.97,7776,0.59446,3.41692,1.08402,0,0,39.40953,16.65001,10.75032,9.90608,18.18863
478,20550,0,0,BARE,1.10363399,0.432844322,0.693715222,7,0.842276159,0.50028394,46,1.468766364,0.008522826,283.8962686,0.125475,0.024195985,10.96002711,12,0.383156443,0.001791667,107.8132111,0.005925,0.001931653,5.711702593,73,2.33086836,0.033189384,676.0667788,1.90755,0.224382396,9.848750413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1.756133696,0.090196364,574.9724844,3.729725,0.518604273,9.099642335,30,0.957891107,0.001004167,149.6637416,0.006425,0.001502873,7.158678684,1,0.031929704,0.00055,0,0,0,1.492405014,2,0.063859407,0.000925,97.2972973,0.0018,9.00E-04,1.918086039,0,0,0,0,0,0,0,313188,4438,2.237071,0.5044,1.327262,0.133337169,0.287509,0.10021741,-0.413936,5.24,96,5.00722,0.2746,30.94403,0,0,63.35875,0.38475,0.00702,0.02363,0
584,20582,0,0,PLAN,0.316577468,0.837311364,1.526080746,7,1.629332681,0.782614009,9,5.189712836,0.001472222,77.90145394,0.00335,0.001146883,5.125592465,4,2.306539038,0.00503125,17.61480171,0.0023,0.000886245,3.365932724,3,1.729904279,0.001316667,51.09755163,0.001625,0.000672784,2.665116902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.766347595,0.00972,234.1536664,0.0772,0.022759736,6.447078006,39,22.48875562,0.001992308,124.8229616,0.00975,0.002486857,10.30503635,17,9.802790912,0.007214706,163.2232702,0.048725,0.011776079,7.738120967,6,3.459808557,0.016445833,70.7476174,0.0348,0.011635035,5.141252801,0,0,0,0,0,0,0,17342,770,1.649439,0.684099,1.361842,0.102429749,0.105263,0.1547668,-0.2378,4.44,8853,3.05616,4.64191,0.91108,0,0,22.41956,17.92181,28.2897,22.75977,0
606,20595,0,0,PLAN,0.402757969,0.793023347,1.455476623,7,1.54315218,0.766710854,5,5.412426932,0.000395,102.8670869,0.001125,0.000406325,3.656535678,3,3.247456159,0.003925,33.90785135,0.003075,0.001330883,2.810731633,1,1.082485386,4.00E-04,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.98982464,0.003972917,238.2629583,0.034625,0.009465989,4.4997378,22,23.8146785,0.001923864,144.2050568,0.0097,0.002774309,7.108817931,8,8.659883092,0.009165625,226.2233025,0.063925,0.02073478,5.170136387,1,1.082485386,0.053475,0,0,0,3.610863563,0,0,0,0,0,0,0,9238,586,1.719902,0.656072,1.395962,0.127427737,0.118353,0.168981703,-0.246998,4.63,5072,0.85516,5.09851,0.1732,0,0,20.643,18.32648,31.7493,23.15436,0
609,20597,0,0,PLAN,0.331242309,0.829775127,1.461112878,7,1.61466784,0.768022032,4,3.353454058,0.00380625,63.14200063,0.00645,0.002403342,4.153509605,3,2.515090543,0.0029,57.3389281,0.00405,0.001662829,2.948309471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.383635144,0.0026475,235.8875391,0.021275,0.006245123,4.332824841,34,28.50435949,0.002086029,229.3330301,0.023975,0.004783954,9.30280657,24,20.12072435,0.003152083,261.1309091,0.0413,0.008231064,6.898859787,9,7.54527163,0.010430556,106.3067746,0.0356,0.011088387,4.985471569,3,2.515090543,0.00245,116.9009567,0.006125,0.002864073,2.595292704,11928,652,1.684065,0.670033,1.380695,0.095319371,0.0830443,0.160603227,-0.213383,5.79,7075,5.10563,2.91751,0,0,0,8.87827,23.78437,25.36888,31.48055,2.46479
659,20626,YES,0,PLAN,0.286579642,0.862184324,1.602961693,8,1.7928619,0.798700553,10,7.033338022,0.0013025,54.69037142,0.002325,0.000712342,5.695403406,2,1.406667604,0.00305,40.16393443,0.00245,0.001225,3.136903558,4,2.813335209,0.00624375,148.5810236,0.02175,0.009277028,2.768377488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.923336616,0.016657143,114.8406125,0.05055,0.019129165,5.827788756,13,9.143339429,0.006332692,178.2694845,0.03605,0.011289258,7.005355636,13,9.143339429,0.002925,151.1636989,0.014275,0.004421538,6.512820513,12,8.440005627,0.002864583,88.1176974,0.006825,0.002524205,7.146518542,5,3.516669011,0.008005,82.60574971,0.01965,0.00661259,3.323961424,14218,620,1.466789,0.769286,1.344811,0.148678526,0.104123,0.18191254,-0.293565,7.09,4497,3.66437,1.71613,7.0263,0,0,32.80349,23.16078,10.69771,9.67084,11.26037
662,20628,0,0,PLAN,0.309365189,0.841017742,1.51599095,7,1.63654496,0.780409526,16,4.915514593,0.0007625,95.32191318,0.0024,0.00072683,6.269600413,10,3.072196621,0.0038375,141.1241685,0.018525,0.00541564,4.288003111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7.066052227,0.008270652,253.3893063,0.081825,0.020956948,8.064924568,83,25.49923195,0.002115964,154.2559609,0.019875,0.003264,13.86978718,26,7.987711214,0.004921154,237.8423168,0.06215,0.011704586,10.91693924,9,2.764976959,0.027163889,137.3355848,0.105525,0.037305686,8.898882022,4,1.228878648,0.006225,125.085413,0.019,0.007786567,3.121091934,32550,1118,1.74808,0.645496,1.351095,0.103944998,0.0968226,0.158016463,-0.240199,5.86,15893,1.49923,4.71582,0,0,0,23.37634,21.58218,15.7235,30.04301,3.05991
671,20636,0,0,PLAN,0.217843656,0.895239346,1.690635169,8,1.861597886,0.81559764,38,5.34345778,0.003654605,348.7246939,0.079825,0.012744511,10.02926635,20,2.8123462,0.0032175,155.4580506,0.0186,0.005001863,7.637785115,4,0.56246924,0.02071875,57.46227863,0.029525,0.011905466,3.569193224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.79666737,0.020568519,342.3726455,0.366925,0.070420981,11.45973256,71,9.983829009,0.004560563,196.6833542,0.048725,0.008969869,15.17483298,38,5.34345778,0.007650658,211.5000611,0.0926,0.016181146,11.8743104,29,4.07790199,0.006881034,137.0207263,0.03235,0.009428443,9.39087585,8,1.12493848,0.01529375,74.12995638,0.03015,0.01133725,4.109659746,71115,1300,1.375175,0.820535,1.283581,0.119254947,0.130756,0.151363653,-0.281047,6.67,24505,7.81129,3.61949,4.66146,0,0,31.23673,18.21275,16.35239,11.22407,6.88181
705,20657,0,0,PLAN,0.197881699,0.904839018,1.763092549,8,1.881559842,0.828486371,8,5.983097749,0.003784375,164.7360349,0.019625,0.006234229,4.367888227,3,2.243661656,0.002508333,25.33644647,0.00155,0.000635523,4.697581904,2,1.495774437,0.0061,23.36065574,0.00285,0.001425,2.91977781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.983097749,0.010928125,114.8382414,0.03835,0.012549667,6.628850902,24,17.94929325,0.002921875,203.7865969,0.025925,0.00595439,6.240293711,8,5.983097749,0.005740625,141.5319186,0.02585,0.008124817,5.447939885,10,7.478872186,0.0033025,191.9592531,0.02175,0.006339454,5.255111783,3,2.243661656,0.015925,46.30222805,0.01585,0.00737363,4.540776933,13371,680,1.658907,0.680194,1.37295,0.119194277,0.0811567,0.159193309,-0.230164,8.01,5069,9.05691,2.25114,3.64969,0,0,26.15362,20.97824,13.73869,9.87959,14.29212
