,X1,gid,label,uncertain,heterogen,cat,map_6_shadowback_dominance,map_6_shadowback_pielou,map_6_shadowback_renyi,map_6_shadowback_richness,map_6_shadowback_shannon,map_6_shadowback_simpson,map_6_shadowback_cl_13_patchnum,map_6_shadowback_cl_13_patchdensity,map_6_shadowback_cl_13_mps,map_6_shadowback_cl_13_padcv,map_6_shadowback_cl_13_padrange,map_6_shadowback_cl_13_padsd,map_6_shadowback_cl_13_shape,map_6_shadowback_cl_14_patchnum,map_6_shadowback_cl_14_patchdensity,map_6_shadowback_cl_14_mps,map_6_shadowback_cl_14_padcv,map_6_shadowback_cl_14_padrange,map_6_shadowback_cl_14_padsd,map_6_shadowback_cl_14_shape,map_6_shadowback_cl_20_patchnum,map_6_shadowback_cl_20_patchdensity,map_6_shadowback_cl_20_mps,map_6_shadowback_cl_20_padcv,map_6_shadowback_cl_20_padrange,map_6_shadowback_cl_20_padsd,map_6_shadowback_cl_20_shape,map_6_shadowback_cl_30_patchnum,map_6_shadowback_cl_30_patchdensity,map_6_shadowback_cl_30_mps,map_6_shadowback_cl_30_padcv,map_6_shadowback_cl_30_padrange,map_6_shadowback_cl_30_padsd,map_6_shadowback_cl_30_shape,map_6_shadowback_cl_31_patchnum,map_6_shadowback_cl_31_patchdensity,map_6_shadowback_cl_31_mps,map_6_shadowback_cl_31_padcv,map_6_shadowback_cl_31_padrange,map_6_shadowback_cl_31_padsd,map_6_shadowback_cl_31_shape,map_6_shadowback_cl_41_patchnum,map_6_shadowback_cl_41_patchdensity,map_6_shadowback_cl_41_mps,map_6_shadowback_cl_41_padcv,map_6_shadowback_cl_41_padrange,map_6_shadowback_cl_41_padsd,map_6_shadowback_cl_41_shape,map_6_shadowback_cl_51_patchnum,map_6_shadowback_cl_51_patchdensity,map_6_shadowback_cl_51_mps,map_6_shadowback_cl_51_padcv,map_6_shadowback_cl_51_padrange,map_6_shadowback_cl_51_padsd,map_6_shadowback_cl_51_shape,map_6_shadowback_cl_111_patchnum,map_6_shadowback_cl_111_patchdensity,map_6_shadowback_cl_111_mps,map_6_shadowback_cl_111_padcv,map_6_shadowback_cl_111_padrange,map_6_shadowback_cl_111_padsd,map_6_shadowback_cl_111_shape,map_6_shadowback_cl_112_patchnum,map_6_shadowback_cl_112_patchdensity,map_6_shadowback_cl_112_mps,map_6_shadowback_cl_112_padcv,map_6_shadowback_cl_112_padrange,map_6_shadowback_cl_112_padsd,map_6_shadowback_cl_112_shape,area,perimeter,compact_circle,compact_square,fd,ndvi_stddev,ndvi_median,ndwi_stddev,ndwi_median,mean_build_height,count_buildpixels,prop_13,prop_14,prop_20,prop_30,prop_31,prop_41,prop_51,prop_111,prop_112
395,518,18363,VEG,NA,NA,12522,1.258393543,0.21811613,0.157943509,5,0.351044369,0.146101982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.861354264,0.006328125,193.0360138,0.042975,0.01221556,7.408907718,16,0.861354264,0.267834375,385.9127854,4.27095,1.033607097,4.84998688,58,3.122409208,0.003249569,99.22536911,0.0146,0.003224397,10.98731316,0,0,0,0,0,0,0,60,3.230078491,0.001130833,62.30310486,0.00295,0.000704544,12.86085616,1,0.053834642,0.000925,0,0,0,1.890588354,0,0,0,0,0,0,0,185754,2202,1.441263,0.78291,1.268877,0.088134532,0.368741,0.048186434,-0.384495,3.51,37,0,0,2.1803,92.28011,4.05859,0,1.46107,0.01992,0
406,540,19000,VEG,NA,NA,12904,0.813350471,0.413291654,0.321560092,4,0.57294389,0.274982939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.975959164,0.0114375,157.9463872,0.050875,0.018065118,4.857542536,2,0.658653055,0.3207875,99.85972022,0.640675,0.3203375,3.077465602,16,5.269224436,0.002270313,109.7213945,0.0087,0.002491019,5.286183604,0,0,0,0,0,0,0,15,4.939897909,0.00084,42.46402595,0.00125,0.000356698,5.523399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30365,970,1.570291,0.71858,1.332674,0.107638044,0.305864,0.056705473,-0.358025,0,0,0,0,9.04001,84.51507,4.78511,0,1.65981,0,0
423,559,19938,VEG,NA,NA,13504,0.806466417,0.498914242,0.58444187,5,0.802971496,0.442583114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.242850551,0.040244118,212.35602,0.35525,0.085460807,9.937935,64,0.914260899,0.194284766,782.0784875,12.254425,1.519459356,15.98454028,295,4.21417133,0.013323644,652.4936328,1.347275,0.086935929,22.6451633,0,0,0,0,0,0,0,412,5.885554535,0.001061711,93.39327517,0.011625,0.000991567,33.69464136,0,0,0,0,0,0,0,4,0.057141306,0.00355,141.0860614,0.0116,0.005008555,2.349707803,700019,5494,1.852375,0.609153,1.279664,0.1040974,0.338104,0.055452657,-0.363929,0.15,568,0,0,3.90932,71.05079,22.45925,0,2.4995,0,0.08114
426,563,20115,VEG,NA,NA,13615,0.85196027,0.385440572,0.340360832,4,0.534334091,0.28848646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.585649644,0.0803675,298.9323139,0.801075,0.240244427,3.667123465,18,4.65416936,0.007577778,201.6457651,0.065425,0.015280268,5.266382761,1,0.258564964,0.001175,0,0,0,1.531582411,19,4.912734325,0.001348684,67.49555695,0.00305,0.000910302,6.777941266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38675,1064,1.526235,0.739322,1.319668,0.11739553,0.401548,0.072828236,-0.400733,0,0,0,0,0,83.12088,14.1073,0.12153,2.65029,0,0
442,590,21004,VEG,NA,YES,14213,0.659512022,0.590222141,0.831848457,5,0.949925891,0.564755988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.182179793,0.033275,215.2276855,0.193325,0.071617012,5.790895144,23,12.19835587,0.010297826,267.7131215,0.113875,0.027568632,4.885216678,8,4.242906391,0.0032875,113.0288495,0.009025,0.003715823,3.946409062,0,0,0,0,0,0,0,4,2.121453195,0.0002375,70.02176156,0.000375,0.000166302,2.514432028,0,0,0,0,0,0,0,3,1.591089897,0.002541667,38.73573113,0.002125,0.000984533,2.261763421,18855,796,1.63529,0.690018,1.357017,0.148503894,0.219438,0.071178106,-0.34647,0.04,305,0,0,42.35481,50.24662,5.57942,0,0.20154,0,1.61761
452,603,21381,VEG,NA,NA,14467,1.072630635,0.226260551,0.149796498,4,0.313663726,0.13911685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.097135475,4.00E-04,0,0,0,1.5,7,0.679948324,0.340585714,244.1794159,2.37765,0.831640208,4.983636871,72,6.993754189,0.001575,195.9819357,0.0251,0.003086715,12.44991952,0,0,0,0,0,0,0,58,5.633857541,0.001307328,202.2938485,0.019475,0.002644643,11.9569269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102949,2236,1.965875,0.573983,1.336415,0.119946163,0.52518,0.079053064,-0.467565,0,0,0,0,0.01554,92.63227,4.40607,0,2.94612,0,0
480,638,23061,VEG,NA,NA,15644,1.268772232,0.211667488,0.174057594,5,0.34066568,0.159751497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.296436829,0.063,90.43650794,0.11395,0.056975,6.183711964,5,0.741092073,0.308185,179.6536156,1.409475,0.553665495,2.974608081,2,0.296436829,0.0017875,2.097902098,7.50E-05,3.75E-05,1.797920322,0,0,0,0,0,0,0,10,1.482184147,0.0007425,43.11999631,0.001075,0.000320166,5.222329679,0,0,0,0,0,0,0,2,0.296436829,0.0043875,25.35612536,0.002225,0.0011125,2.295170205,67468,1732,1.881023,0.599875,1.341264,0.129069986,0.421564,0.077186409,-0.379945,0.33,351,0,0,7.47021,91.35738,0.21195,0,0.44021,0,0.52025
483,642,23127,VEG,NA,NA,15693,0.965972849,0.120733621,0.050040677,3,0.132639439,0.048809268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.888651915,0.274325,0,0,0,1.928362511,7,6.220563405,0.000353571,68.70172151,0.000625,0.00024291,3.768891807,0,0,0,0,0,0,0,8,7.10921532,0.000565625,96.90897518,0.0018,0.000548141,3.493482487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11253,616,1.638105,0.688832,1.377139,0.108528059,0.402377,0.053021302,-0.405193,0,0,0,0,0,97.51177,0.87977,0,1.60846,0,0
521,686,24559,VEG,NA,NA,16737,0.717878591,0.631083382,0.938726897,7,1.228031558,0.608874538,0,0,0,0,0,0,0,1,0.080114724,0.136025,0,0,0,4.148413735,24,1.922753383,0.006019792,283.8972593,0.08075,0.017090024,9.372566305,49,3.92562149,0.016754082,414.601192,0.477575,0.069462622,10.86569141,11,0.881261967,0.158975,314.1991614,1.7385,0.499498117,6.009935031,2,0.160229449,0.079275,95.80573951,0.1519,0.07595,6.937758266,88,7.050095737,0.001251989,96.70697673,0.007475,0.00121076,14.6192137,0,0,0,0,0,0,0,3,0.240344173,0.000541667,51.98998538,0.00065,0.000281612,3.162885732,124821,2638,2.106328,0.535709,1.342654,0.169396492,0.526802,0.122181469,-0.469231,1.24,65,0,4.35904,4.62983,26.30807,56.03945,5.08088,3.53066,0,0.05207
527,692,24696,VEG,NA,NA,16831,0.997503627,0.443282626,0.471319009,6,0.794255842,0.375821572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.348589379,0.0125,173.60985,0.061925,0.021701231,6.063667413,5,1.467868362,0.13263,198.0536167,0.65795,0.262678512,4.761523362,14,4.110031412,0.002919643,124.8741101,0.011875,0.003645878,7.641869218,1,0.293573672,0.0151,0,0,0,1.424129803,24,7.045768136,0.0013,127.9580953,0.00815,0.001663455,7.78440461,0,0,0,0,0,0,0,1,0.293573672,0.00125,0,0,0,1.979898987,34063,1194,1.824979,0.618297,1.357817,0.171648658,0.457055,0.105093176,-0.420415,0.07,50,0,0,11.74295,77.87335,4.79993,1.77318,3.6638,0,0.14679
